Student_ID,Name,Age,Gender,Location,Education_Level,Exam_Type,Malpractice_Type,Caught,Date
655c8ca6-5920-4485-bdd1-440fb6c5405b,Jessica Kirby,19,Male,Ibadan,Postgraduate,Mock Exam,Smuggling of unauthorized materials,No,2024-09-24
bf19448b-b7f1-41ee-b479-ab2802f6ea0f,Bradley Thomas,26,Male,Kano,Postgraduate,University Exam,Cheating with electronic devices,Yes,2024-01-18
145c94cc-f806-41d2-8ae5-9da80c80eaff,Joanna Harrison,18,Male,Kano,Postgraduate,University Exam,Copying from neighbors,Yes,2024-11-19
619a5140-6684-40cc-8bfb-69a6b6bae0a6,Taylor Mcintosh,27,Female,Benin,Postgraduate,JAMB,Copying from neighbors,Yes,2024-07-27
e442779d-ea83-4c08-af1a-3f92dc983382,Debra Reid,18,Other,Ibadan,Postgraduate,JAMB,Cheating with electronic devices,No,2024-08-18
2850237b-024e-41c7-8d55-eae73fba6014,Ashley Montoya,28,Male,Benin,High School,JAMB,Copying from neighbors,Yes,2025-02-06
b7e97c2a-dfb5-4e87-9942-360903ad414d,Eric Morales,18,Other,Ibadan,Postgraduate,Mock Exam,Copying from neighbors,Yes,2024-03-21
e05fc50e-7f5a-492a-87bf-f4710ba9bd84,Shane Nixon,19,Female,Kano,Postgraduate,Mock Exam,Cheating with electronic devices,No,2025-06-22
66e4427c-308d-4c06-bf71-e26b70f288f8,Shawn Mcneil,30,Male,Abuja,Undergraduate,JAMB,Collusion with other candidates,Yes,2023-09-27
e09039e9-3a14-47bf-bf88-dbc3acb9c93e,Dr. Shawn Terry MD,22,Other,Abuja,High School,University Exam,Falsification of results,Yes,2023-08-12
28a8a7f6-443c-4442-bc5d-163ae9011527,Lisa Doyle,19,Male,Benin,Postgraduate,NECO,Impersonation,No,2025-03-08
a8fed85f-f3a7-4c21-a38c-81b1290d0552,Chelsea Bryant,21,Other,Port Harcourt,Postgraduate,JAMB,Smuggling of unauthorized materials,No,2025-02-17
4e13bc9c-2083-4fcf-adb4-d068359bdf17,Mike Oliver,29,Other,Benin,High School,NECO,Collusion with other candidates,Yes,2024-05-22
a8efc55f-0bd5-4743-9a96-98a533bbc87e,Shane Ross,25,Male,Port Harcourt,Postgraduate,NECO,Cheating with electronic devices,Yes,2025-01-20
1bbf004e-64d2-4ecb-a556-527f9e5bde92,Erica Jennings,16,Male,Abuja,High School,JAMB,Cheating with electronic devices,Yes,2024-10-10
a261307c-4b48-4dd2-b3f8-2940b85f95de,Alyssa Herrera,23,Other,Benin,High School,Mock Exam,Collusion with other candidates,No,2025-04-06
0d4e73ce-3336-4135-b4bb-25c487a53bc2,Jessica Rodriguez,22,Female,Kaduna,High School,WAEC,Cheating with electronic devices,No,2024-09-28
4f58cf49-d01e-4def-a198-554c46afd50a,Kristin Preston,26,Female,Kaduna,Undergraduate,WAEC,Use of external assistance,Yes,2024-12-09
c34804c1-6fcf-4444-b8c5-9f652706b5e8,James Norton,16,Female,Enugu,High School,NECO,Collusion with other candidates,Yes,2024-05-24
b39cc8af-3cdc-4b24-942b-2a4278b36300,Ricardo Gutierrez,29,Male,Kaduna,High School,JAMB,Smuggling of unauthorized materials,Yes,2024-08-13
346c9836-a2a8-447f-9cfc-42ae91335712,Kristen Collins,17,Female,Abuja,High School,Mock Exam,Falsification of results,Yes,2024-02-13
55281e15-b263-4d0c-b1f7-4bbb2febec59,Joseph Weber,17,Male,Kano,Undergraduate,University Exam,Smuggling of unauthorized materials,Yes,2023-11-10
135f0c6b-7a96-482c-8ab5-ecf2da6ee5ec,Alicia Cummings,27,Male,Kano,Undergraduate,WAEC,Smuggling of unauthorized materials,No,2025-03-21
91b21025-87ed-4687-9ceb-dfa51d21fd79,Jacqueline Sanders,29,Female,Kaduna,Postgraduate,Mock Exam,Use of external assistance,No,2024-10-03
3815a178-2542-4963-91c4-dbbffcb26ec5,Christina Winters,19,Male,Ibadan,High School,WAEC,Copying from neighbors,Yes,2024-11-19
92969ab9-99dd-4bc8-b179-5e8c74106327,Carrie Price,25,Male,Lagos,Postgraduate,University Exam,Copying from neighbors,Yes,2024-11-04
da87b045-8103-4cb2-a747-5c2f022138a7,Benjamin Myers,16,Other,Abuja,High School,WAEC,Copying from neighbors,Yes,2024-07-17
3a9e672f-7d18-4d2c-80c1-18c89549cd78,Margaret Diaz,22,Female,Abuja,Postgraduate,NECO,Copying from neighbors,Yes,2024-02-04
d596885d-c2af-4c24-b8e4-680e03c7cfb2,Jennifer Martinez,17,Female,Enugu,Undergraduate,NECO,Use of external assistance,No,2025-06-11
1d898420-2583-4145-94a5-7552b84aa436,David Nichols,22,Female,Kaduna,High School,JAMB,Smuggling of unauthorized materials,No,2025-06-16
90bcd00f-e031-4181-8150-6e19f8b2e462,Stephanie Hardy,17,Male,Benin,Postgraduate,Mock Exam,Cheating with electronic devices,Yes,2025-03-05
17331e2b-7031-4d9c-aa7d-57be9503b68b,Laura Smith,21,Other,Ibadan,High School,JAMB,Cheating with electronic devices,Yes,2024-01-15
1f9b35e5-6dff-412e-84c1-4a9de3394825,Ann Jackson,26,Female,Kano,Undergraduate,Mock Exam,Use of external assistance,No,2024-06-06
d9f2c715-8757-4f2b-80d4-0ba1dba9ba2b,Michael Stone,15,Other,Ibadan,Postgraduate,WAEC,Collusion with other candidates,No,2023-10-09
fa3c78b1-3e8b-49a6-afbc-1d269fac0c1d,Sharon Jones,18,Male,Kano,Undergraduate,JAMB,Copying from neighbors,Yes,2025-05-01
611a4442-7d25-487b-8c2b-af8e23a6877a,Charles Wheeler,25,Male,Ibadan,Postgraduate,University Exam,Impersonation,Yes,2024-12-09
9884369e-ce62-42d8-80af-5f2d2facc35c,Alexis Morris,17,Other,Kaduna,Undergraduate,WAEC,Cheating with electronic devices,No,2024-05-26
f64ad176-4130-4236-acf0-59c5cb74bfb7,Tara Pennington,19,Other,Ibadan,High School,University Exam,Copying from neighbors,No,2025-04-26
6df6e381-41a8-41b2-8a8e-7500351280c4,Kaitlyn Williams,15,Male,Abuja,Postgraduate,NECO,Copying from neighbors,Yes,2024-07-20
d2cadf54-73ec-4468-a261-1f3a6a0d5485,Elizabeth Dean,26,Other,Kano,Undergraduate,NECO,Cheating with electronic devices,No,2024-05-28
c4dd9d7f-ab58-48b9-aed6-9c7657c5e397,Erika Washington,26,Male,Enugu,High School,NECO,Use of external assistance,Yes,2025-02-25
9fefcd87-2ce9-4a89-b140-392bea5eccc8,Nicholas Goodman,26,Other,Kaduna,Postgraduate,NECO,Collusion with other candidates,Yes,2023-10-20
836920dd-b2db-457e-887c-e2db62695b15,Joseph Hicks,20,Female,Lagos,High School,JAMB,Falsification of results,No,2024-09-21
3c42a67d-53ea-4988-88b8-ff4336ce8faf,Nicole Shepherd,22,Female,Kano,Postgraduate,WAEC,Smuggling of unauthorized materials,Yes,2025-05-07
cf8a1b80-a19b-449f-aa28-54cd6c6b1d20,Derek Bates,30,Male,Port Harcourt,Undergraduate,JAMB,Impersonation,Yes,2025-06-04
56b1f3bb-d963-4f83-9f10-91e6f693d0c2,Stacey Barrett,22,Male,Port Harcourt,Undergraduate,JAMB,Impersonation,Yes,2024-09-09
4c92bea6-b1c5-4463-8802-3490845659cd,Jill Stokes,23,Female,Kaduna,Postgraduate,Mock Exam,Impersonation,Yes,2024-03-16
480bc2cf-6be1-42b4-a5e0-8a496dffd955,Teresa Wilkins,18,Female,Kano,Postgraduate,JAMB,Cheating with electronic devices,Yes,2024-07-04
952556eb-84c0-4d2f-bda2-53d71d6c481e,Scott Miller,28,Female,Enugu,Undergraduate,Mock Exam,Copying from neighbors,Yes,2025-06-20
97aa5d0c-0815-456b-85bc-24a96144eda2,Justin Branch,27,Other,Port Harcourt,Undergraduate,WAEC,Use of external assistance,No,2024-10-07
f2c70939-e18f-4de6-8322-c187d1c0b1aa,Laura Mccarty,15,Other,Port Harcourt,Undergraduate,University Exam,Cheating with electronic devices,No,2023-12-23
80fe99d7-11d9-443d-90a2-1b71510eb31c,Maria Berger,25,Other,Abuja,Postgraduate,JAMB,Copying from neighbors,No,2023-10-30
3c3b4cbc-b6da-4f6e-9b90-701a7936bdad,Paul Boyd,28,Female,Kaduna,Postgraduate,JAMB,Copying from neighbors,Yes,2023-10-23
74026a14-56ea-48dc-aec9-0ec66fbdc5a9,Nicole Wu,21,Female,Kaduna,Postgraduate,NECO,Copying from neighbors,No,2023-08-23
3cfb0dc3-1b0c-470e-899e-0ae1631a7604,Melissa Jones,27,Other,Lagos,Undergraduate,JAMB,Collusion with other candidates,No,2024-05-24
b85a7e9c-4c85-4943-8e32-2107c6779f32,Jack West,25,Female,Benin,Undergraduate,NECO,Copying from neighbors,No,2024-10-02
6dd7f859-8b9d-4bf8-8479-b86dcbd20e0b,Howard Roberson,20,Other,Abuja,Undergraduate,Mock Exam,Use of external assistance,No,2023-09-25
baa65b5b-8804-4e91-ae1c-2fe31fc982d2,Anthony Bowers,17,Male,Ibadan,High School,NECO,Collusion with other candidates,Yes,2024-05-15
54bedb8e-b50a-41e6-b4ee-aff1c10c79c8,Eric Ruiz,16,Male,Benin,Postgraduate,WAEC,Smuggling of unauthorized materials,No,2024-10-07
12fc56ff-c03f-4c83-8368-e685d653dab0,Michael Ali,21,Other,Kaduna,Undergraduate,University Exam,Collusion with other candidates,Yes,2024-09-04
ae54fde7-302a-40da-ac8c-24ac724b4ba5,Steven Gardner,15,Male,Kaduna,High School,NECO,Falsification of results,No,2024-08-11
94e3be0b-a1cc-4763-8bf5-6f9e7912857e,Mr. Robert Soto Jr.,16,Other,Port Harcourt,High School,University Exam,Collusion with other candidates,No,2023-08-15
973181d6-55f9-4097-9889-ffd296ff91a2,Theodore Hernandez,25,Female,Kaduna,Postgraduate,University Exam,Collusion with other candidates,No,2025-02-14
622c9554-2d33-4594-91f2-74353fa7a96b,Jessica Kramer,29,Female,Port Harcourt,Postgraduate,JAMB,Falsification of results,No,2025-04-25
9aa85eac-3be2-4a5a-9884-38411ea26d6b,Michele Pham,22,Female,Benin,High School,JAMB,Collusion with other candidates,No,2025-05-09
a1fd3ffb-50a0-4267-9dbe-ec7da03451cc,Rhonda Moore,25,Female,Abuja,High School,NECO,Collusion with other candidates,No,2024-03-29
cdc15f6d-14a5-4d6b-8f14-08e9e73dbaec,Carlos Anderson,19,Other,Port Harcourt,High School,University Exam,Smuggling of unauthorized materials,No,2023-10-15
caea0bae-ae5a-4478-84a7-777ac503926d,Alan Daniels,29,Female,Lagos,High School,University Exam,Smuggling of unauthorized materials,Yes,2024-11-20
0ddf4b29-db06-4419-aa54-0315d6d200cd,Andrew Michael,27,Female,Lagos,Undergraduate,JAMB,Falsification of results,No,2024-02-14
ffdb457c-132f-4a34-9188-6f23486ce095,Philip Scott,28,Other,Port Harcourt,Undergraduate,NECO,Impersonation,No,2024-06-27
f30c7eb7-e0a2-4cfb-8db7-1da7e3576c64,Megan Romero,30,Male,Kaduna,Undergraduate,University Exam,Use of external assistance,Yes,2024-08-10
03896f9b-6eee-462e-b792-fa8023d453af,Deborah Hale,29,Male,Lagos,Undergraduate,Mock Exam,Copying from neighbors,Yes,2024-06-20
22cc1ba9-8208-4dfd-9fb3-6c4bad8ce1b8,Brian Pace,17,Other,Kaduna,High School,University Exam,Collusion with other candidates,Yes,2024-04-11
b66ee490-8d3f-4eff-9a46-8358d287d4bb,Christina Matthews,23,Female,Enugu,High School,University Exam,Impersonation,No,2025-02-04
24d04435-c3f6-4ca9-9cea-573107c9e31b,Linda Blankenship,27,Female,Kaduna,Undergraduate,WAEC,Smuggling of unauthorized materials,Yes,2023-09-27
0d6c1a94-55b8-4347-8d81-ffebc091fe29,Tammy Pierce,16,Female,Port Harcourt,Postgraduate,WAEC,Falsification of results,Yes,2024-09-05
0484e135-3111-467a-a2f4-859ac941e30b,Claudia Carlson,15,Male,Port Harcourt,High School,Mock Exam,Collusion with other candidates,Yes,2024-09-20
22edeea5-9902-430f-b593-75b3bcb46961,Jose Hall,19,Female,Abuja,Postgraduate,NECO,Smuggling of unauthorized materials,No,2023-09-14
f647f7c3-f183-49fc-ab13-386810ffc652,Darlene Montoya,26,Male,Abuja,High School,JAMB,Cheating with electronic devices,Yes,2023-12-25
e2514bc9-6385-48e8-8511-9c904024fab7,Michelle Long,24,Other,Kaduna,Undergraduate,NECO,Cheating with electronic devices,Yes,2024-06-11
91b1911d-a206-4b6f-aa93-399585c9443b,Kelly Mckenzie,18,Other,Ibadan,Postgraduate,Mock Exam,Falsification of results,Yes,2025-01-29
f586df45-0aa3-428d-b71d-d5709ea4d74d,Katelyn Steele,16,Female,Kaduna,Postgraduate,JAMB,Cheating with electronic devices,No,2025-07-08
902328b5-7bd5-4d1e-8c71-59f84c8c5092,Shawn Davenport,15,Female,Benin,High School,University Exam,Impersonation,No,2023-12-01
14a9fa7e-6a34-4f68-ba1f-2573989f89cb,Timothy Glover,19,Female,Kano,Postgraduate,Mock Exam,Use of external assistance,No,2024-02-03
36202079-e918-4fad-9fae-0c75993cb668,Kimberly Reed,30,Female,Kaduna,Postgraduate,Mock Exam,Impersonation,No,2023-11-20
ade32758-82e3-4f64-9ee7-d48ac86ca363,Yolanda Torres,22,Male,Ibadan,Undergraduate,NECO,Falsification of results,No,2023-08-11
053a3554-34fd-41d1-9809-2457c4c512af,Ms. Stephanie Stanley DDS,27,Female,Lagos,Undergraduate,JAMB,Collusion with other candidates,No,2024-06-23
76049873-06af-43a4-8379-e8f376bd1e46,Michael Williamson,21,Female,Ibadan,Undergraduate,JAMB,Copying from neighbors,No,2024-01-08
7a6601b8-782d-4539-a671-64ba701a5f06,Alexandra Lopez,15,Other,Port Harcourt,High School,NECO,Use of external assistance,No,2024-06-01
547e1593-923e-45c0-92bc-d1b34eaedd25,Shaun Eaton,30,Other,Port Harcourt,Postgraduate,University Exam,Use of external assistance,No,2025-07-27
3f9cded6-6d0e-4cd5-9e21-845c8346ae1c,Christopher Jones,29,Male,Abuja,Undergraduate,NECO,Smuggling of unauthorized materials,Yes,2024-11-28
9c7506c6-d58b-46b0-b016-dc0214c21622,David Hughes,24,Other,Enugu,Undergraduate,Mock Exam,Copying from neighbors,No,2023-12-09
b340ec59-1c16-4856-a5d0-42d7f8f73c9c,Kathy Lindsey,28,Other,Enugu,Undergraduate,University Exam,Impersonation,No,2023-11-25
9d76ebca-4b61-4695-80e0-feac25303da7,Rebecca Daniel,23,Male,Abuja,Postgraduate,NECO,Impersonation,Yes,2023-09-06
5f1a56e9-cc25-42eb-837e-cc4b160c89ed,Lisa Bates,20,Male,Port Harcourt,Postgraduate,University Exam,Impersonation,No,2025-04-27
fc612701-60a3-4fe8-9e2d-be651db12b96,Brandy Walters,18,Male,Ibadan,High School,JAMB,Collusion with other candidates,No,2024-08-22
09123364-e177-43a1-a7c5-71a48cd2bdb3,Leonard Horton,15,Other,Kano,Undergraduate,WAEC,Cheating with electronic devices,No,2023-10-10
bfba9961-ed0f-4e71-8f04-5a2e1ccc7942,Mario Henry,19,Other,Benin,High School,WAEC,Copying from neighbors,No,2023-12-21
d6b211a8-5ff7-42da-9770-f5aebb7a0da2,Crystal Brown,30,Female,Benin,Undergraduate,NECO,Cheating with electronic devices,No,2023-08-29
72b965d3-4a27-47bd-acf6-8ab27516d5ec,Philip Snyder,30,Male,Abuja,Undergraduate,University Exam,Cheating with electronic devices,Yes,2025-02-28
4c82077c-df9e-4874-b120-e990e8da4b59,Rachel Sims,19,Male,Ibadan,High School,NECO,Cheating with electronic devices,No,2025-05-26
21f61599-b85e-41f9-9723-b8e468584875,Shawn Harvey,22,Other,Kaduna,Undergraduate,University Exam,Impersonation,No,2025-08-02
3d11b0a2-94e4-40df-b1a1-85812c4e15db,Alan Waters,24,Other,Lagos,Postgraduate,WAEC,Falsification of results,Yes,2023-08-25
ea16380f-c906-4fd5-aaa5-da237beff10c,Rose Anderson,21,Female,Abuja,High School,NECO,Collusion with other candidates,Yes,2024-05-21
08192e65-6d20-495b-9c41-5e067b590b41,James Wright,20,Male,Kaduna,Undergraduate,Mock Exam,Smuggling of unauthorized materials,No,2025-03-27
f92e7ffd-37b5-4b9f-81f1-92285794a960,Henry Mcguire,16,Male,Ibadan,Postgraduate,JAMB,Use of external assistance,No,2023-10-30
0ab65e09-0fb6-4eb5-bb8a-0cde17c59f89,Ryan Sandoval II,17,Other,Port Harcourt,Undergraduate,Mock Exam,Use of external assistance,Yes,2023-10-09
3520e381-1267-4bf8-84cd-d830fa3bf8ea,Gary Aguirre,28,Male,Port Harcourt,Postgraduate,NECO,Impersonation,Yes,2024-03-14
154e2945-b6eb-4600-94c1-09e2cf6e368b,Craig Briggs,17,Male,Kano,Undergraduate,Mock Exam,Use of external assistance,No,2025-04-08
7e7c356c-1a6c-4424-ad04-87016ede7698,Sierra Quinn,29,Male,Benin,Postgraduate,JAMB,Use of external assistance,No,2025-07-26
5d1fa70a-7457-4572-880b-e9167056fa60,Stacy Deleon,23,Other,Benin,Undergraduate,WAEC,Copying from neighbors,Yes,2024-05-30
d047c31b-4a7f-4434-af36-3bc24f3505ff,Haley Estrada,28,Other,Enugu,Postgraduate,JAMB,Cheating with electronic devices,Yes,2024-05-21
50e60560-8938-42c6-9df6-2628473e48c7,Kimberly Warner,22,Other,Lagos,Postgraduate,JAMB,Copying from neighbors,Yes,2025-07-16
6f2d960d-e92d-4fb5-9a91-f82717161b99,Theresa Mitchell,20,Female,Benin,Undergraduate,NECO,Copying from neighbors,No,2024-09-17
126b1703-a2e8-4a9a-86b5-3ebdb74885ce,Chad Pearson,30,Male,Benin,Undergraduate,University Exam,Impersonation,No,2024-07-23
5ec50fca-badd-43e7-9e36-5d7a2514aae2,Mr. Joel Henson MD,18,Male,Enugu,Undergraduate,University Exam,Impersonation,No,2025-01-01
bfea7552-3858-4ed2-833d-acce20fab4df,Wesley Everett,16,Female,Abuja,Undergraduate,JAMB,Impersonation,Yes,2023-09-11
a6f802c3-8ac1-47c1-a785-0c07cf0602f4,Taylor Walker,27,Other,Lagos,Postgraduate,Mock Exam,Smuggling of unauthorized materials,No,2025-01-13
72c3f0bf-585c-47b1-9aa6-b4f32a32cf99,Lisa Cruz,16,Male,Enugu,Postgraduate,University Exam,Use of external assistance,No,2024-04-04
1dbe0be7-2371-41fa-aee0-54e52a4d35d8,Luke Carpenter,16,Male,Ibadan,Postgraduate,NECO,Impersonation,No,2025-02-10
927fe029-3314-48df-a91e-8a114bb7fe48,Derek Marshall,30,Male,Lagos,Postgraduate,Mock Exam,Falsification of results,Yes,2023-12-14
2385dee6-bca9-4ea7-8971-48d08f93bdd3,Rachel Russell,20,Female,Lagos,Postgraduate,University Exam,Cheating with electronic devices,Yes,2024-10-27
f92c8c9d-ed13-4c4f-82a4-3d90fe0a59f5,Michelle Torres,18,Female,Abuja,Postgraduate,NECO,Smuggling of unauthorized materials,No,2024-06-09
aea0f465-30f0-496d-aebe-fe2ad828d95c,Judy Smith,23,Female,Benin,Undergraduate,NECO,Smuggling of unauthorized materials,Yes,2024-07-22
747cbcba-bc58-447c-ac82-06cbd1d3a7c7,Tonya Copeland,27,Male,Kano,High School,JAMB,Falsification of results,No,2024-02-25
7d1680ef-3db8-498d-973c-bae0debf5d74,James Mendez,25,Other,Ibadan,High School,JAMB,Use of external assistance,No,2024-12-28
4fa7ca9f-eaf8-4e55-921e-a31ebe53bf8d,Paul Yoder,30,Male,Benin,Postgraduate,University Exam,Impersonation,No,2024-11-27
0f4f187f-bf54-4979-a984-753b038bc5ae,Robert Watts,27,Female,Enugu,High School,NECO,Copying from neighbors,No,2024-03-01
e445763b-ac26-418c-9477-3d0babee4c7e,Jasmine Jensen,22,Female,Lagos,Undergraduate,University Exam,Use of external assistance,No,2023-09-21
a38faf77-301c-4bbd-a537-89232a6c4c74,Erica Macias,27,Other,Kano,Undergraduate,WAEC,Collusion with other candidates,No,2024-11-12
f6e2d83b-b774-4f0c-ac88-cc97a7f1fc1d,Christopher Walker,18,Female,Abuja,Postgraduate,University Exam,Cheating with electronic devices,Yes,2023-10-11
17dc2c18-68ff-470b-a3e9-b1b76374eee4,Sharon Pruitt,28,Other,Kano,High School,University Exam,Falsification of results,No,2023-09-29
9f53d6a6-b4e6-4755-81c4-e7c980a0fda1,Frank Gilmore,25,Other,Kaduna,Postgraduate,WAEC,Falsification of results,No,2024-10-12
f9a74a7e-3ccb-4c84-9a84-16afc1390ec7,Carolyn Hampton,27,Female,Benin,Postgraduate,WAEC,Copying from neighbors,Yes,2024-08-05
8f7e63d5-f429-41ff-b982-890008c8f688,Nicole Williams,22,Other,Ibadan,High School,WAEC,Smuggling of unauthorized materials,Yes,2024-06-13
e2dad476-6b66-441c-b56e-b721d9d07ffd,Yesenia Miller,18,Female,Kano,Postgraduate,JAMB,Cheating with electronic devices,Yes,2024-12-24
fc2e1f92-8d48-4147-b437-d32432b16e4f,Brandon Lewis,25,Male,Ibadan,Undergraduate,JAMB,Smuggling of unauthorized materials,Yes,2024-03-25
36f7da69-d331-4989-9479-f15387778db9,Donna Hensley,22,Other,Kaduna,Postgraduate,NECO,Collusion with other candidates,Yes,2023-11-19
114f404a-93dc-4360-b4c4-5dea9351573b,Bradley Wilson,17,Other,Kaduna,Postgraduate,NECO,Smuggling of unauthorized materials,Yes,2024-05-17
ac9967ab-687b-4d87-97d7-a8bdef22235a,David Foster,22,Female,Ibadan,Undergraduate,JAMB,Use of external assistance,Yes,2024-02-20
3911fb85-b4d7-4f4a-8168-0ee4ec890afa,Erin Fitzgerald,29,Female,Kano,High School,University Exam,Impersonation,No,2024-10-31
6e05d131-de44-4c34-bca3-06f885c77868,Stacey Fields,28,Other,Ibadan,Undergraduate,JAMB,Collusion with other candidates,No,2025-02-20
98bae53b-66a3-44e7-84cf-cc23fc160a18,James Roberts,30,Male,Port Harcourt,Undergraduate,Mock Exam,Impersonation,No,2025-05-29
59d0bffd-d691-48b5-9b08-80d0797cc0ad,David White,24,Male,Kaduna,Undergraduate,WAEC,Copying from neighbors,Yes,2024-11-27
ec53b3fc-9799-431e-a55f-52b84f4eebee,Gerald Spencer,30,Female,Port Harcourt,Postgraduate,JAMB,Collusion with other candidates,Yes,2025-06-22
1f101d36-bf40-4269-98d5-8c67abf71011,Sharon Dunn,23,Other,Kano,Postgraduate,WAEC,Use of external assistance,Yes,2024-06-27
7595c9ce-5928-485c-9d51-5c54075ae66d,Deborah Smith,24,Female,Lagos,Postgraduate,JAMB,Use of external assistance,Yes,2025-05-12
00d4f2ab-d142-473c-b548-77ad180aad7e,Keith Gallagher,17,Female,Enugu,Postgraduate,University Exam,Collusion with other candidates,Yes,2025-03-17
67bb6aa9-e4c2-4074-96ee-e010121aee5f,Carol Patel,19,Other,Enugu,Postgraduate,Mock Exam,Impersonation,Yes,2024-12-26
c878e692-9058-47eb-92d5-309c64211bd4,Ryan Rivera,23,Female,Ibadan,Postgraduate,JAMB,Falsification of results,Yes,2024-08-05
13af595f-b9ca-45c4-845f-03f8f58fcc4d,Brittany Owens,29,Male,Kano,High School,University Exam,Falsification of results,No,2024-07-11
230a1651-8f1a-4364-a544-1d35be691963,Luis Hill,17,Female,Lagos,Undergraduate,Mock Exam,Cheating with electronic devices,No,2024-10-12
63a66a49-3830-40dc-9ee7-aec45b5857ca,Rhonda Berg,26,Other,Ibadan,Postgraduate,University Exam,Falsification of results,No,2024-09-27
4363569b-09ce-4715-a46d-15c12ac04db8,Andrea Roberson,18,Other,Port Harcourt,Undergraduate,WAEC,Copying from neighbors,No,2024-03-05
e29ac3cd-35f1-4b9f-82e8-2762b381b8df,James Sanchez,22,Other,Abuja,Postgraduate,University Exam,Use of external assistance,No,2023-12-18
6c1bd7e4-ad90-47b8-8eb4-dca69726064e,Steven Mccullough,28,Male,Kano,High School,WAEC,Impersonation,No,2024-06-16
37131607-8ca7-47f6-8603-7b8bd43c3ed6,Henry Dorsey,18,Male,Port Harcourt,Postgraduate,NECO,Smuggling of unauthorized materials,No,2024-12-14
e16b1ad2-5550-4f87-a020-3dc248d3b9a9,Rodney Martin,26,Other,Kaduna,Postgraduate,NECO,Smuggling of unauthorized materials,Yes,2023-08-11
ef59f5ab-2b3d-4914-b7a4-ef6a28eec0f5,Matthew Burns,30,Other,Kaduna,Undergraduate,WAEC,Use of external assistance,No,2023-09-19
4d8e2546-7cb7-44ed-8da5-09925fe020d1,Nicole Herman,21,Female,Benin,High School,JAMB,Cheating with electronic devices,No,2024-08-28
7e1ef003-bb3a-4c42-bc58-59e2e59f2595,Marilyn Cole,26,Male,Kaduna,Undergraduate,NECO,Cheating with electronic devices,No,2024-11-26
21869e24-50e5-453e-8ad4-7669844a818f,Eric Hanna,17,Other,Port Harcourt,Postgraduate,Mock Exam,Cheating with electronic devices,Yes,2025-02-07
a9ff0a8e-3028-49d0-8d42-d6986da6940d,Dominique Boone,25,Male,Kano,Postgraduate,NECO,Cheating with electronic devices,Yes,2025-05-15
5aee82da-e850-4374-a036-1a937b91e77e,Vanessa Gordon,21,Male,Enugu,High School,Mock Exam,Cheating with electronic devices,No,2024-11-01
edaa6ed8-d7c2-4ea2-9fa8-3c3b19ccf607,Andrew Harris,19,Male,Ibadan,High School,WAEC,Use of external assistance,Yes,2024-10-27
c5e867d4-5b7b-4de0-b94b-56ea741eeb65,Heidi Miller,19,Male,Enugu,High School,Mock Exam,Impersonation,Yes,2024-07-14
37ed23b8-3820-443a-9cbf-a7ffde71aebf,Patrick Gaines,20,Female,Lagos,High School,University Exam,Copying from neighbors,Yes,2025-01-14
6fc5b489-0f3d-4498-bfff-be5ad8d88608,Christopher Phillips,17,Female,Benin,Undergraduate,Mock Exam,Copying from neighbors,Yes,2024-11-16
